"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2540","Should not login with invalid password","","Fri Aug 15 09:55:17 UTC 2025","passed","Fri Aug 15 09:55:20 UTC 2025","","Login with invalid data","",""
"","376","Sorting products by price from high to low","","Fri Aug 15 09:55:54 UTC 2025","passed","Fri Aug 15 09:55:55 UTC 2025","","Products","",""
"","586","Sorting products by price from low to high","","Fri Aug 15 09:55:54 UTC 2025","passed","Fri Aug 15 09:55:54 UTC 2025","","Products","",""
"","15762","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 09:55:31 UTC 2025","passed","Fri Aug 15 09:55:47 UTC 2025","","Footer","",""
"","608","Login, click on burger-button and logout","","Fri Aug 15 09:55:19 UTC 2025","passed","Fri Aug 15 09:55:20 UTC 2025","","Logout","",""
"","348","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 09:55:55 UTC 2025","failed","Fri Aug 15 09:55:55 UTC 2025","","Footer","",""
"","1299","Should not login with invalid user name","","Fri Aug 15 09:55:37 UTC 2025","passed","Fri Aug 15 09:55:38 UTC 2025","","Login with invalid data","",""
"","1322","Should not login with invalid user name","","Fri Aug 15 09:55:20 UTC 2025","passed","Fri Aug 15 09:55:21 UTC 2025","","Login with invalid data","",""
"","454","Login, click on burger-button and logout","","Fri Aug 15 09:55:36 UTC 2025","passed","Fri Aug 15 09:55:36 UTC 2025","","Logout","",""
"","279","Checkout without products","","Fri Aug 15 09:55:56 UTC 2025","passed","Fri Aug 15 09:55:56 UTC 2025","","Checkout","",""
"","3014","Should login with valid credentials","","Fri Aug 15 09:55:17 UTC 2025","passed","Fri Aug 15 09:55:20 UTC 2025","","Login","",""
"","10958","Valid checkout","","Fri Aug 15 09:55:56 UTC 2025","failed","Fri Aug 15 09:56:06 UTC 2025","","Checkout","",""
"","529","Sorting products by Name (A to Z)","","Fri Aug 15 09:55:32 UTC 2025","passed","Fri Aug 15 09:55:32 UTC 2025","","Products","",""
"","276","Sorting products by price from high to low","","Fri Aug 15 09:55:32 UTC 2025","passed","Fri Aug 15 09:55:32 UTC 2025","","Products","",""
"","696","Checkout without products","","Fri Aug 15 09:55:32 UTC 2025","passed","Fri Aug 15 09:55:33 UTC 2025","","Checkout","",""
"","611","Sorting products by price from low to high","","Fri Aug 15 09:55:31 UTC 2025","passed","Fri Aug 15 09:55:32 UTC 2025","","Products","",""
"","13197","Valid checkout","","Fri Aug 15 09:55:33 UTC 2025","failed","Fri Aug 15 09:55:46 UTC 2025","","Checkout","",""
"","1720","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 09:55:49 UTC 2025","passed","Fri Aug 15 09:55:50 UTC 2025","","Cart","",""
"","405","Sorting products by Name (A to Z)","","Fri Aug 15 09:55:55 UTC 2025","passed","Fri Aug 15 09:55:55 UTC 2025","","Products","",""
"","1921","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 09:55:19 UTC 2025","passed","Fri Aug 15 09:55:21 UTC 2025","","Cart","",""
"","5922","Should not login with invalid password","","Fri Aug 15 09:55:31 UTC 2025","passed","Fri Aug 15 09:55:37 UTC 2025","","Login with invalid data","",""
"","550","Sorting products by Name (Z to A)","","Fri Aug 15 09:55:32 UTC 2025","passed","Fri Aug 15 09:55:33 UTC 2025","","Products","",""
"","5833","Should login with valid credentials","","Fri Aug 15 09:55:31 UTC 2025","failed","Fri Aug 15 09:55:37 UTC 2025","","Login","",""
"","305","Sorting products by Name (Z to A)","","Fri Aug 15 09:55:55 UTC 2025","passed","Fri Aug 15 09:55:55 UTC 2025","","Products","",""
