"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2290","Valid checkout","","Tue Aug 12 00:43:23 EEST 2025","passed","Tue Aug 12 00:43:25 EEST 2025","","Checkout","",""
"","3552","Should not login with invalid passord","","Tue Aug 12 00:43:19 EEST 2025","passed","Tue Aug 12 00:43:23 EEST 2025","","Login with invalid data","",""
"","664","Login, click on burger-button and logout","","Tue Aug 12 00:43:24 EEST 2025","passed","Tue Aug 12 00:43:24 EEST 2025","","Logout","",""
"","2138","Should not login with invalid passord","","Tue Aug 12 00:43:15 EEST 2025","passed","Tue Aug 12 00:43:17 EEST 2025","","Login with invalid data","",""
"","2275","Sorting products by Name (Z to A)","","Tue Aug 12 00:43:30 EEST 2025","passed","Tue Aug 12 00:43:32 EEST 2025","","Products","",""
"","272","Sorting products by price from low to high","","Tue Aug 12 00:43:29 EEST 2025","passed","Tue Aug 12 00:43:30 EEST 2025","","Products","",""
"","915","Should not login with invalid user name","","Tue Aug 12 00:43:17 EEST 2025","passed","Tue Aug 12 00:43:18 EEST 2025","","Login with invalid data","",""
"","2345","Should login with valid credentials","","Tue Aug 12 00:43:19 EEST 2025","passed","Tue Aug 12 00:43:21 EEST 2025","","Login","",""
"","1422","Add any product to cart, logout, login and check that product is still in the cart","","Tue Aug 12 00:43:29 EEST 2025","passed","Tue Aug 12 00:43:30 EEST 2025","","Cart","",""
"","644","Checkout without products","","Tue Aug 12 00:43:24 EEST 2025","failed","Tue Aug 12 00:43:24 EEST 2025","","Checkout","",""
"","448","Checkout without products","","Tue Aug 12 00:43:31 EEST 2025","failed","Tue Aug 12 00:43:31 EEST 2025","","Checkout","",""
"","737","Login, click on burger-button and logout","","Tue Aug 12 00:43:16 EEST 2025","passed","Tue Aug 12 00:43:17 EEST 2025","","Logout","",""
"","298","Sorting products by price from high to low","","Tue Aug 12 00:43:30 EEST 2025","passed","Tue Aug 12 00:43:30 EEST 2025","","Products","",""
"","280","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Tue Aug 12 00:43:30 EEST 2025","failed","Tue Aug 12 00:43:30 EEST 2025","","Footer","",""
"","2453","Sorting products by Name (Z to A)","","Tue Aug 12 00:43:24 EEST 2025","passed","Tue Aug 12 00:43:26 EEST 2025","","Products","",""
"","1424","Valid checkout","","Tue Aug 12 00:43:30 EEST 2025","passed","Tue Aug 12 00:43:32 EEST 2025","","Checkout","",""
"","266","Sorting products by Name (A to Z)","","Tue Aug 12 00:43:30 EEST 2025","passed","Tue Aug 12 00:43:30 EEST 2025","","Products","",""
"","5531","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Tue Aug 12 00:43:22 EEST 2025","passed","Tue Aug 12 00:43:27 EEST 2025","","Footer","",""
"","2483","Should login with valid credentials","","Tue Aug 12 00:43:15 EEST 2025","passed","Tue Aug 12 00:43:17 EEST 2025","","Login","",""
"","572","Sorting products by price from high to low","","Tue Aug 12 00:43:23 EEST 2025","passed","Tue Aug 12 00:43:23 EEST 2025","","Products","",""
"","551","Sorting products by Name (A to Z)","","Tue Aug 12 00:43:23 EEST 2025","passed","Tue Aug 12 00:43:24 EEST 2025","","Products","",""
"","1714","Add any product to cart, logout, login and check that product is still in the cart","","Tue Aug 12 00:43:16 EEST 2025","passed","Tue Aug 12 00:43:18 EEST 2025","","Cart","",""
"","799","Sorting products by price from low to high","","Tue Aug 12 00:43:22 EEST 2025","passed","Tue Aug 12 00:43:23 EEST 2025","","Products","",""
"","1152","Should not login with invalid user name","","Tue Aug 12 00:43:23 EEST 2025","passed","Tue Aug 12 00:43:24 EEST 2025","","Login with invalid data","",""
