"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Sorting products by price from high to low","","Wed Aug 13 10:54:33 UTC 2025","passed","Wed Aug 13 10:54:34 UTC 2025","","Products","",""
"","459","Sorting products by price from high to low","","Wed Aug 13 10:54:10 UTC 2025","passed","Wed Aug 13 10:54:11 UTC 2025","","Products","",""
"","587","Sorting products by price from low to high","","Wed Aug 13 10:54:10 UTC 2025","passed","Wed Aug 13 10:54:10 UTC 2025","","Products","",""
"","1615","Add any product to cart, logout, login and check that product is still in the cart","","Wed Aug 13 10:54:02 UTC 2025","passed","Wed Aug 13 10:54:04 UTC 2025","","Cart","",""
"","717","Sorting products by Name (A to Z)","","Wed Aug 13 10:54:11 UTC 2025","passed","Wed Aug 13 10:54:12 UTC 2025","","Products","",""
"","5844","Should login with valid credentials","","Wed Aug 13 10:54:19 UTC 2025","failed","Wed Aug 13 10:54:25 UTC 2025","","Login","",""
"","2169","Sorting products by Name (Z to A)","","Wed Aug 13 10:54:34 UTC 2025","passed","Wed Aug 13 10:54:36 UTC 2025","","Products","",""
"","606","Sorting products by price from low to high","","Wed Aug 13 10:54:33 UTC 2025","passed","Wed Aug 13 10:54:33 UTC 2025","","Products","",""
"","354","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Wed Aug 13 10:54:39 UTC 2025","failed","Wed Aug 13 10:54:39 UTC 2025","","Footer","",""
"","1047","Valid checkout","","Wed Aug 13 10:54:40 UTC 2025","passed","Wed Aug 13 10:54:41 UTC 2025","","Checkout","",""
"","271","Checkout without products","","Wed Aug 13 10:54:40 UTC 2025","failed","Wed Aug 13 10:54:41 UTC 2025","","Checkout","",""
"","17567","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Wed Aug 13 10:54:09 UTC 2025","passed","Wed Aug 13 10:54:27 UTC 2025","","Footer","",""
"","1616","Should not login with invalid passord","","Wed Aug 13 10:54:01 UTC 2025","passed","Wed Aug 13 10:54:02 UTC 2025","","Login with invalid data","",""
"","808","Checkout without products","","Wed Aug 13 10:54:13 UTC 2025","failed","Wed Aug 13 10:54:14 UTC 2025","","Checkout","",""
"","4046","Valid checkout","","Wed Aug 13 10:54:10 UTC 2025","passed","Wed Aug 13 10:54:14 UTC 2025","","Checkout","",""
"","1979","Should login with valid credentials","","Wed Aug 13 10:54:01 UTC 2025","passed","Wed Aug 13 10:54:03 UTC 2025","","Login","",""
"","578","Should not login with invalid user name","","Wed Aug 13 10:54:02 UTC 2025","passed","Wed Aug 13 10:54:03 UTC 2025","","Login with invalid data","",""
"","972","Add any product to cart, logout, login and check that product is still in the cart","","Wed Aug 13 10:54:34 UTC 2025","passed","Wed Aug 13 10:54:35 UTC 2025","","Cart","",""
"","5685","Should not login with invalid passord","","Wed Aug 13 10:54:19 UTC 2025","passed","Wed Aug 13 10:54:25 UTC 2025","","Login with invalid data","",""
"","369","Login, click on burger-button and logout","","Wed Aug 13 10:54:02 UTC 2025","passed","Wed Aug 13 10:54:03 UTC 2025","","Logout","",""
"","289","Sorting products by Name (A to Z)","","Wed Aug 13 10:54:34 UTC 2025","passed","Wed Aug 13 10:54:34 UTC 2025","","Products","",""
"","2498","Sorting products by Name (Z to A)","","Wed Aug 13 10:54:12 UTC 2025","passed","Wed Aug 13 10:54:14 UTC 2025","","Products","",""
"","366","Login, click on burger-button and logout","","Wed Aug 13 10:54:25 UTC 2025","passed","Wed Aug 13 10:54:25 UTC 2025","","Logout","",""
"","1281","Should not login with invalid user name","","Wed Aug 13 10:54:25 UTC 2025","passed","Wed Aug 13 10:54:26 UTC 2025","","Login with invalid data","",""
